airport_id	airport_name	city	country	airport_iata	airport_icao	latitude	longitude
6303	Mount Gambier Airport	Mount Gambier	Australia	MGB	YMTG	-37.7456016541	140.7850036621
6304	Mornington Island Airport	Mornington Island	Australia	ONG	YMTI	-16.6625003815	139.1779937744
6305	Murray Island Airport	Murray Island	Australia	MYI	YMUI	-9.9166698456	144.054992676
6306	Maryborough Airport	Maryborough	Australia	MBH	YMYB	-25.5133	152.714996
6307	Narrandera Airport	Narrandera	Australia	NRA	YNAR	-34.7022018433	146.511993408
6308	Narrabri Airport	Narrabri	Australia	NAA	YNBR	-30.3192005157	149.82699585
6309	Normanton Airport	Normanton	Australia	NTN	YNTN	-17.68409	141.069664
6310	Newman Airport	Newman	Australia	ZNE	YNWN	-23.4178009033	119.803001404
6311	Olympic Dam Airport	Olympic Dam	Australia	OLP	YOLD	-30.4850006104	136.876998901
6312	Port Augusta Airport	Argyle	Australia	PUG	YPAG	-32.5069007874	137.7169952393
6313	Palm Island Airport	Palm Island	Australia	PMK	YPAM	-18.7553005219	146.5809936523
6314	Paraburdoo Airport	Paraburdoo	Australia	PBO	YPBO	-23.1711006165	117.745002747
6315	Cocos (Keeling) Islands Airport	Cocos Keeling Island	Cocos (Keeling) Islands	CCK	YPCC	-12.1883001328	96.8339004517
6316	Gove Airport	Gove	Australia	GOV	YPGV	-12.2693996429	136.817993164
6317	Parkes Airport	Parkes	Australia	PKE	YPKS	-33.131401062	148.238998413
6318	Port Lincoln Airport	Port Lincoln	Australia	PLO	YPLC	-34.6053009033	135.880004883
6319	Pormpuraaw Airport	Pormpuraaw	Australia	EDR	YPMP	-14.896451	141.60908
6320	Port Macquarie Airport	Port Macquarie	Australia	PQQ	YPMQ	-31.4358005524	152.863006592
6321	Portland Airport	Portland	Australia	PTJ	YPOD	-38.3180999756	141.470993042
6322	Quilpie Airport	Quilpie	Australia	ULP	YQLP	-26.6121997833	144.2530059814
6323	Ramingining Airport	Ramingining	Australia	RAM	YRNG	-12.3563995361	134.8979949951
6324	Roma Airport	Roma	Australia	RMA	YROM	-26.5450000763	148.774993896
6325	St George Airport	St George	Australia	SGO	YSGE	-28.0496997833	148.5950012207
6326	Shark Bay Airport	Shark Bay	Australia	MJK	YSHK	-25.8938999176	113.577003479
6327	Saibai Island Airport	Saibai Island	Australia	SBR	YSII	-9.3783302307	142.625
6328	Strahan Airport	Strahan	Australia	SRN	YSRN	-42.1549987793	145.2920074463
6329	Thargomindah Airport	Thargomindah	Australia	XTG	YTGM	-27.9864006042	143.8110046387
6330	Tennant Creek Airport	Tennant Creek	Australia	TCA	YTNK	-19.6343994141	134.1829986572
6331	Victoria River Downs Airport	Victoria River Downs	Australia	VCD	YVRD	-16.4021244049	131.0049743652
6332	Warraber Island Airport	Sue Islet	Australia	SYU	YWBS	-10.2082996368	142.8249969482
6333	Windorah Airport	Windorah	Australia	WNR	YWDH	-25.4130992889	142.6670074463
6334	Whyalla Airport	Whyalla	Australia	WYA	YWHA	-33.0588989258	137.5140075684
6335	Wiluna Airport	Wiluna	Australia	WUN	YWLU	-26.6291999817	120.2210006714
6336	Wollongong Airport	Wollongong	Australia	WOL	YWOL	-34.5611000061	150.7890014648
6337	Winton Airport	Winton	Australia	WIN	YWTN	-22.3635997772	143.0859985352
6338	Wynyard Airport	Burnie	Australia	BWT	YWYY	-40.9989013672	145.7310028076
6339	Yorke Island Airport	Yorke Island	Australia	OKR	YYKI	-9.752801	143.405673
6340	Yam Island Airport	Yam Island	Australia	XMY	YYMI	-9.9011096954	142.7760009766
6341	Beijing Nanyuan Airport	Beijing	China	NAY	ZBNY	39.7827987671	116.3880004883
6342	Chifeng Airport	Chifeng	China	CIF	ZBCF	42.2350006104	118.9079971313
6343	Changzhi Airport	Changzhi	China	CIH	ZBCZ	36.247501	113.125999
6344	Datong Airport	Datong	China	DAT	ZBDT	40.060299	113.482002
6345	Baita International Airport	Hohhot	China	HET	ZBHH	40.851398	111.823997
6346	Baotou Airport	Baotou	China	BAV	ZBOW	40.5600013733	109.997001648
6347	Shijiazhuang Daguocun International Airport	Shijiazhuang	China	SJW	ZBSJ	38.2807006836	114.6969985962
6348	Tongliao Airport	Tongliao	China	TGO	ZBTL	43.556702	122.199997
6349	Ulanhot Airport	Ulanhot	China	HLH	ZBUL	46.195333	122.008333
6350	Xilinhot Airport	Xilinhot	China	XIL	ZBXH	43.915599823	115.9639968872
6351	Beihai Airport	Beihai	China	BHY	ZGBH	21.5394	109.293999
6352	Changde Airport	Changde	China	CGD	ZGCD	28.9188995361	111.63999939
6353	Dayong Airport	Dayong	China	DYG	ZGDY	29.1028	110.443001
6354	Meixian Airport	Meixian	China	MXZ	ZGMX	24.3500003815	116.1330032349
6355	Zhuhai Jinwan Airport	Zhuhai	China	ZUH	ZGSD	22.006399	113.375999
6356	Liuzhou Bailian Airport	Liuzhou	China	LZH	ZGZH	24.2075	109.390999
6357	Zhanjiang Airport	Zhanjiang	China	ZHA	ZGZJ	21.214399	110.358002
6358	Enshi Airport	Enshi	China	ENH	ZHES	30.3202991486	109.48500061
6359	Nanyang Jiangying Airport	Nanyang	China	NNY	ZHNY	32.980801	112.614998
6360	Xiangyang Liuji Airport	Xiangfan	China	XFN	ZHXF	32.1506	112.291
6361	Yichang Sanxia Airport	Yichang	China	YIH	ZHYC	30.55655	111.479988
6362	Ankang Wulipu Airport	Ankang	China	AKA	ZLAK	32.708099	108.931
6363	Golmud Airport	Golmud	China	GOQ	ZLGM	36.4006	94.786102
6364	Hanzhong Chenggu Airport	Hanzhong	China	HZG	ZLHZ	33.134136	107.206014
6365	Qingyang Airport	Qingyang	China	IQN	ZLQY	35.799702	107.602997
6366	Xining Caojiabu Airport	Xining	China	XNN	ZLXN	36.5275	102.042999
6367	"'""Yan''an Ershilipu Airport""'"	"'""Yan''an""'"	China	ENY	ZLYA	36.636902	109.554001
6368	Yulin Yuyang Airport	Yulin	China	UYN	ZLYL	38.35971	109.590927
6369	Arvaikheer Airport	Arvaikheer	Mongolia	AVK	ZMAH	46.2503013611	102.8020019531
6370	Altai Airport	Altai	Mongolia	LTI	ZMAT	46.3763999939	96.2210998535
6371	Bayankhongor Airport	Bayankhongor	Mongolia	BYN	ZMBH	46.1632995605	100.7040023804
6372	Dalanzadgad Airport	Dalanzadgad	Mongolia	DLZ	ZMDZ	43.5917015076	104.4300003052
6373	Khovd Airport	Khovd	Mongolia	HVD	ZMKD	47.9541015625	91.6281967163
6374	Mörön Airport	Muren	Mongolia	MXV	ZMMN	49.6632995605	100.0989990234
6375	Diqing Airport	Shangri-La	China	DIG	ZPDQ	27.7936	99.6772
6376	Mangshi Airport	Luxi	China	LUM	ZPLX	24.4011	98.5317
6377	"'""Pu''er Simao Airport""'"	Simao	China	SYM	ZPSM	22.793301	100.959
6378	Zhaotong Airport	Zhaotong	China	ZAT	ZPZT	27.3255996704	103.7549972534
6379	Ganzhou Airport	Ganzhou	China	KOW	ZSGZ	25.853333	114.778889
6380	Jingdezhen Airport	Jingdezhen	China	JDZ	ZSJD	29.3386001587	117.176002502
6381	Jiujiang Lushan Airport	Jiujiang	China	JIU	ZSJJ	29.476944	115.801111
6382	Quzhou Airport	Quzhou	China	JUZ	ZSJU	28.965799	118.899002
6383	Lianyungang Airport	Lianyungang	China	LYG	ZSLG	34.571667	118.873611
6384	Huangyan Luqiao Airport	Huangyan	China	HYN	ZSLQ	28.5622005463	121.4290008545
6385	Shubuling Airport	Linyi	China	LYI	ZSLY	35.0461006165	118.4120025635
6386	Quanzhou Jinjiang International Airport	Quanzhou	China	JJN	ZSQZ	24.7964	118.589996
6387	Tunxi International Airport	Huangshan	China	TXN	ZSTX	29.7332992554	118.2559967041
6388	Weifang Airport	Weifang	China	WEF	ZSWF	36.646702	119.119003
6389	Weihai Airport	Weihai	China	WEH	ZSWH	37.1870994568	122.2289962769
6390	Sunan Shuofang International Airport	Wuxi	China	WUX	ZSWX	31.4944000244	120.429000854
6391	Nanping Wuyishan Airport	Wuyishan	China	WUS	ZSWY	27.7019	118.000999
6392	Wenzhou Longwan International Airport	Wenzhou	China	WNZ	ZSWZ	27.912201	120.851997
6393	Yancheng Airport	Yancheng	China	YNZ	ZSYN	33.425833	120.203056
6394	Yiwu Airport	Yiwu	China	YIW	ZSYW	29.3446998596	120.031997681
6395	Zhoushan Airport	Zhoushan	China	HSN	ZSZS	29.9342002869	122.361999512
6396	Qamdo Bangda Airport	Bangda	China	BPX	ZUBD	30.5536003113	97.1082992554
6397	Dachuan Airport	Dazhou	China	DAX	ZUDX	31.1302	107.4295
6398	Guangyuan Airport	Guangyuan	China	GYS	ZUGU	32.3911018372	105.702003479
6399	Luzhou Airport	Luzhou	China	LZO	ZULZ	28.8521995544	105.3929977417
6400	Mianyang Airport	Mianyang	China	MIG	ZUMY	31.4281005859	104.7409973145
6401	Nanchong Airport	Nanchong	China	NAO	ZUNC	30.79545	106.1626
6402	Nyingchi Airport	Nyingchi	China	LZY	ZUNZ	29.3033008575	94.3352966309
6403	Wanxian Airport	Wanxian	China	WXN	ZUWX	30.8017	108.433
6404	Aksu Airport	Aksu	China	AKU	ZWAK	41.262501	80.291702
6405	Qiemo Yudu Airport	Qiemo	China	IQM	ZWCM	38.233611	85.465556
6406	Kuqa Airport	Kuqa	China	KCA	ZWKC	41.677856	82.872917
6407	Korla Airport	Korla	China	KRL	ZWKL	41.6977996826	86.1288986206
6408	Karamay Airport	Karamay	China	KRY	ZWKM	45.46655	84.9527
6409	Yining Airport	Yining	China	YIN	ZWYN	43.955799	81.330299
6410	Heihe Airport	Heihe	China	HEK	ZYHE	50.1716209371	127.308883667
6411	Jiamusi Airport	Jiamusi	China	JMU	ZYJM	46.8433990479	130.464996338
6412	Jinzhou Airport	Jinzhou	China	JNZ	ZYJZ	41.101398468	121.06199646
6413	Qiqihar Sanjiazi Airport	Qiqihar	China	NDG	ZYQQ	47.2396011353	123.9179992676
6414	Yanji Chaoyangchuan Airport	Yanji	China	YNJ	ZYYJ	42.8828010559	129.451004028
6415	Waikoloa Heliport	Waikoloa Village	United States of America	WKL	HI07	19.9205	-155.8607
6419	Mount Keith Airport	Mount Keith	Australia	WME	YMNE	-27.2863998413	120.5550003052
6420	Los Roques Airport	Los Roques	Venezuela	LRV	SVRS	11.9499998093	-66.6699981689
