airline_id	airline_name	country	airline_iata	airline_icao	alias
10683	CanXplorer	Canada	C2	CAP	null
10715	Click (Mexicana)	Mexico	QA	null	null
10735	World Experience Airline	Canada	W1	WE1	WEA
10737	ALAK	Russia	J4	null	null
10739	Air Choice One	United States	3E	null	null
10740	Tianjin Airlines	China	null	GCR	null
10741	China United	China	KN	null	null
10748	Locair	United States	ZQ	LOC	null
10758	Safi Airlines	Afghanistan	4Q	null	null
10765	SeaPort Airlines	United States	K5	SQH	null
10776	Salmon Air	United States	S6	null	null
10798	Bobb Air Freight	Germany	01	null	null
10800	Star1 Airlines	Lithuania	V9	HCW	null
10845	Pelita	Indonesia	6D	null	null
10912	Alaska Seaplane Service	United States	J5	null	null
10945	Enerjet	Canada	null	ENJ	null
10955	MexicanaLink	Mexico	I6	MXI	null
10960	Island Spirit	Iceland	IP	ISX	null
10969	TACA Peru	Peru	T0	null	null
11700	Orbest	Portugal	null	OBS	null
11719	Southern Air Charter	Bahamas	null	SOA	null
11724	SVG Air	Saint Vincent and the Grenadines	null	SVG	null
11726	Air Century	Dominican Republic	null	CEY	null
11731	Pan Am World Airways Dominicana	Dominican Republic	7Q	null	PAWA Dominicana
11732	Primera Air	Iceland	PF	null	null
11741	Air Antilles Express	Guadeloupe	3S	null	null
11751	Sol Lineas Aereas	Argentina	null	OLS	null
11755	Regional Paraguaya	Paraguay	P7	REP	null
11761	VIP Ecuador	Ecuador	V6	null	null
11762	Transportes Aereos Cielos Andinos	Peru	null	NDN	null
11763	Peruvian Airlines	Peru	P9	null	null
11765	EasyFly	Colombia	null	EFY	null
11767	Polar Airlines	Russia	ЯП	null	null
11794	Catovair	Mauritius	OC	null	null
11795	Andalus Lineas Aereas	Spain	null	ANU	null
11798	Air 26	Angola	null	DCD	null
11800	Mauritania Airways	Mauritania	null	MTW	null
11802	CEIBA Intercontinental	Equatorial Guinea	null	CEL	null
11804	Halcyonair	Cape Verde	7Z	null	null
11805	Business Aviation	Congo (Kinshasa)	4P	null	null
11806	Compagnie Africaine d\\'Aviation	Congo (Kinshasa)	E9	null	null
11808	Zambia Skyways	Zambia	K8	null	null
11811	AlMasria Universal Airlines	Egypt	UJ	LMU	null
11813	EgyptAir Express	Egypt	null	MSE	null
11814	SmartLynx Airlines	Latvia	6Y	null	null
11815	Air Italy Egypt	Egypt	null	EUD	null
11816	KoralBlue Airlines	Egypt	K7	KBR	null
11820	Wind Rose Aviation	Ukraine	null	WRC	null
11823	Elysian Airlines	Cameroon	E4	GIE	null
11833	Sevenair	Tunisia	null	SEN	null
11834	Hellenic Imperial Airways	Greece	HT	IMP	null
11836	Amsterdam Airlines	Netherlands	WD	AAN	null
11838	Arik Niger	Niger	Q9	NAK	null
11839	Dana Air	Nigeria	DA	null	null
11840	STP Airways	Sao Tome and Principe	8F	STP	null
11843	Med Airways	Lebanon	7Y	null	null
11850	Skyjet Airlines	Uganda	UQ	SJU	null
11855	Air Volga	Russia	G6	null	null
11856	Transavia Denmark	Denmark	null	TDK	null
11857	Royal Falcon	Jordan	RL	RFJ	null
11873	Euroline	Georgia	4L	MJX	null
11943	Turkuaz Airlines	Turkey	null	TRK	null
11947	Athens Airways	Greece	ZF	null	null
11948	Viking Hellas	Greece	VQ	VKH	null
11949	Norlandair	Iceland	null	FNA	null
11950	Flugfelag Vestmannaeyja	Iceland	null	FVM	null
11963	Starline.kz	Kazakhstan	DZ	null	null
12960	Lugansk Airlines	Ukraine	L7	null	null
12961	Gryphon Airlines	United States	6P	null	null
12962	Gadair European Airlines	Spain	GP	GDR	null
12965	Spirit of Manila Airlines	Philippines	SM	MNP	null
12975	Chongqing Airlines	China	OQ	CQN	null
12976	Grand China Air	China	null	GDC	null
12978	West Air China	China	PN	CHB	null
12997	QatXpress	Qatar	C3	QAX	qatXpress
13076	OneChina	China	1C	1CH	OneChina
13088	NordStar Airlines	Russia	Y7	null	null
13089	Joy Air	China	JR	JOY	null
13105	Air India Regional	India	CD	null	null
13106	MDLR Airlines	India	9H	null	null
13107	Jagson Airlines	India	null	JGN	null
13108	Maldivian	Maldives	Q2	null	null
13130	Xpressair	Indonesia	XN	null	null
13178	Strategic Airlines	Australia	VC	null	null
13181	Fars Air Qeshm	Iran	null	QFZ	null
13187	Eastok Avia	Kyrgyzstan	null	EAA	null
13188	Jupiter Airlines	United Arab Emirates	null	JPU	null
13189	Vision Air International	Pakistan	null	VIS	null
13190	Al-Naser Airlines	Iraq	NA	null	null
13200	Fuji Dream Airlines	Japan	JH	null	null
13202	Korea Express Air	South Korea	null	KEA	null
13209	Eznis Airways	Mongolia	null	EZA	null
13211	Pacific Flier	Palau	null	PFL	null
13217	Syrian Pearl Airlines	Syria	null	PSB	null
13218	SGA Airlines	Thailand	5E	null	null
13242	Air2there	New Zealand	F8	null	null
13254	Avianova (Russia)	Russia	AO	null	null
13303	Parmiss Airlines (IPV)	Iran	PA	IPV	null
13304	EuropeSky	Germany	ES	EUV	null
13306	BRAZIL AIR	Brazil	GB	BZE	BRAZIL AIR
13335	Homer Air	Germany	MR	OME	Homer Sky
13391	U.S. Air	United States	-+	--+	null
13394	Jayrow	Australia	\\'	\\'\\	null
13397	Wilderness Air	Australia	;;	null	null
13398	Whitaker Air	Australia	^^	null	null
13633	PanAm World Airways	United States	WQ	PQW	null
13690	Virginwings	Germany	YY	VWA	null
13704	KSY	Greece	KY	KSY	Kreta Sky
13732	Buquebus Líneas Aéreas	Uruguay	BQ	BQB	null
13734	SOCHI AIR	Russia	CQ	KOL	SOCHI
13757	Wizz Air Ukraine	Ukraine	WU	WAU	null
13781	88	Cyprus	47	VVN	null
13815	LCM AIRLINES	Russia	LQ	LMM	null
13899	Cambodia Angkor Air (K6)	Cambodia	K6	null	null
13936	Royal European Airlines	United Kingdom	69	null	null
13947	Tom\\'s & co airliners	France	&T	T&O	Tom\\'s air
13983	Azul	Brazil	AD	AZU	Azul Linhas Aéreas Brasileiras
14061	LSM Airlines	Russia	PQ	LOO	slowbird
14069	Zapolyarie Airlines	Russia	null	PZY	Zapolyarye Airlines
14073	Finlandian	Finland	null	FN1	null
14094	LionXpress	Cameroon	C4	LIX	lionXpress
14118	Genesis	Pakistan	GK	null	null
14388	Congo Express	Congo (Kinshasa)	XZ	null	null
14485	Fly Dubai	United Arab Emirates	FZ	FDB	null
14620	Domenican Airlines	Dominican Republic	D1	MDO	Domenican
14679	ConneX European Airline	Austria	null	2CO	null
14849	Aereonautica militare	Italy	JY	AXZ	null
14858	Kal Star Aviation	Indonesia	null	KLS	null
14881	LSM AIRLINES	Russia	YZ	YZZ	Russian. Yours Air Lines
15814	UTair-Express	Russia	UR	null	null
15837	Huaxia	China	G5	null	HUAXIA
15867	Zabaykalskii Airlines	Russia	ZP	ZZZ	Baikal Airlines
15887	CBM America	United States	null	XBM	null
15893	Marysya Airlines	Russia	M4	1QA	MARYSYA AIRLINES
15897	N1	Peru	N1	null	null
15930	Airlink (SAA)	South Africa	4Z	null	null
15939	Westfalia Express VA	Germany	null	WFX	null
15953	JobAir	Czech Republic	3B	null	null
15975	Black Stallion Airways	United States	BZ	BSA	null
15984	German International Air Lines	Germany	GM	GER	Germanair
15985	TrasBrasil	Brazil	TB	TBZ	null
15989	TransBrasil Airlines	Brazil	TH	THS	null
15999	China SSS	China	9C	null	Chunqiu Airlines
16084	AIR INDOCHINE	Vietnam	null	IIA	null
16100	Happy Air	Thailand	null	HPY	null
16101	Solar Air	Thailand	null	SRB	null
16103	Air Mekong	Vietnam	P8	MKG	null
16110	Harbour Air (Priv)	Canada	H3	null	null
16116	Air Hamburg (AHO)	Germany	HH	AHO	null
16120	ZABAIKAL AIRLINES	Russia	Z6	ZTT	ZABAIKAL
16127	TransHolding	Brazil	TI	THI	Trans
16130	SUR Lineas Aereas	Argentina	null	SZZ	null
16131	Aerolineas Africanas	Guinea	null	AA1	null
16133	Yeti Airways	Nepal	YT	null	null
16135	Yellowstone Club Private Shuttle	United States	Y1	null	null
16136	Caucasus Airlines	Georgia	NS	null	null
16139	Serbian Airlines	Serbia	S1	SA1	null
16149	Windward Islands Airways	Netherlands Antilles	WM	null	null
16150	TransHolding System	Brazil	YO	TYS	null
16151	CCML Airlines	Colombia	CB	CCC	null
16198	Small Planet Airlines	Lithuania	null	ELC	null
16234	Fly Brasil	Brazil	F1	FBL	Fly Brasil
16261	CB Airways UK ( Interliging Flights )	United Kingdom	1F	CIF	null
16262	Fly Colombia ( Interliging Flights )	Colombia	3F	3FF	null
16264	Trans Pas Air	United States	T6	TP6	null
16273	KMV	Russia	МИ	null	null
16323	Himalayan Airlines	Nepal	HC	HYM	Himalaya
16327	Indya Airline Group	India	G1	IG1	Indya1
16329	Sunwing	Canada	WG	null	null
16358	Turkish Wings Domestic	Turkey	null	TWD	null
16359	Japan Regio	Japan	ZX	ZXY	null
16362	OCEAN AIR CARGO	India	null	IXO	null
16363	Norte Lineas Aereas	Argentina	N0	null	NORTE
16364	Austral Brasil	Brazil	W7	null	Austral Brasil lineas aereas
16373	PEGASUS AIRLINES-	Turkey	H9	null	null
16409	Nihon.jet connect	Kyrgyzstan	null	NX1	null
16415	Camair-co	Cameroon	QC	null	null
16459	Sky Regional	Canada	RS	SKV	Air Canada Express
16507	LSM International	Russia	II	UWW	Moskva-air
16508	Baikotovitchestrian Airlines	American Samoa	BU	BUU	null
16511	Luchsh Airlines	Russia	L4	LJJ	Air luch
16556	ENTERair	Poland	null	QQQ	null
16585	Air Cargo Germany	Germany	6U	null	null
16615	Mongolian International Air Lines	Mongolia	7M	ZTF	Mongol Air
16624	Tway Airlines	South Korea	TW	TWB	null
16625	Papillon Grand Canyon Helicopters	United States	HI	null	null
16628	Jusur airways	Egypt	JX	JSR	null
16645	NEXT Brasil	Brazil	XB	NXB	NEXT
16660	AeroWorld	Russia	W4	WER	Sovet Air
16695	GNB Linhas Aereas	Brazil	GN	null	null
16702	Usa Sky Cargo	United States	E1	ES2	USky
16707	Hankook Airline	South Korea	HN	HNX	null
16717	REDjet	Barbados	Z7	null	null
16720	Red Jet Andes	Peru	PT	null	null
16721	Red Jet Canada	Canada	QY	null	null
