"actor_id","actor_name"
"5181","R.D. Reid"
"5182","Michael Yama"
"5183","Levi Stubbs"
"5184","Martin Sharpe"
"5185","Eric Raymond"
"5186","Christine Amor"
"5187","Chris Martin Hill"
"5188","Barbara Stanwyck"
"5189","Paul Benjamin"
"5190","Françoise Seigner"
"5191","Elisabeth Harnois"
"5192","Grigori Aleksandrov"
"5193","Moira Brooker"
"5194","Ryan Bollman"
"5195","Fidel Castro"
"5196","James Brown III"
"5197","Colleen Clinkenbeard"
"5198","Sam Jaeger"
"5199","Freddie Cunliffe"
"5200","Paul Miller"
"5201","Ann Richards"
"5202","Maclean Stewart"
"5203","Steve Bean"
"5204","Léopoldine Serre"
"5205","Demi Moore"
"5206","Paul Wegener"
"5207","Jean Gaven"
"5208","Tygh Runyan"
"5209","Pierre Png"
"5210","Amy Stewart"
"5211","Katey Sagal"
"5212","Gary Farmer"
"5213","Ruth White"
"5214","David Gulpilil"
"5215","Olin Howland"
"5216","Berry Kroeger"
"5217","Michelan Sisti"
"5218","Michael E. Williamson"
"5219","Matthias Schoenaerts"
"5220","Heather Matarazzo"
"5221","Tony Church"
"5222","Emmanuel Affadzi"
"5223","Alex McKenna"
"5224","Ken Arnold"
"5225","Phil Fish"
"5226","Chris Brown"
"5227","Tôru Emori"
"5228","Fausto Guerzoni"
"5229","Chris Krzykowski"
"5230","Joanna Pacula"
"5231","Sean Fox"
"5232","Kuniko Miyake"
"5233","Hirokazu Hiramatsu"
"5234","Olympia Dukakis"
"5235","Imogen Boorman"
"5236","Irene Ziegler"
"5237","Patrick Cavanaugh"
"5238","Molly Sims"
"5239","Sanoe Lake"
"5240","Marika Green"
"5241","Stepan Krylov"
"5242","Joe Keaton"
"5243","Meagan Good"
"5244","Roger Barclay"
"5245","Andile Mngadi"
"5246","Marisa Pavan"
"5247","Don Francks"
"5248","Kathy Burke"
"5249","Vanessa Aspillaga"
"5250","Tracy Camilla Johns"
"5251","Emily Watson"
"5252","Shawn Barron"
"5253","Richard Carlson"
"5254","John Hurt"
"5255","Sareh Bayat"
"5256","Jessica Capshaw"
"5257","Emma Bolger"
"5258","Julien Monney"
"5259","Theodore Charach"
"5260","Prince"
"5261","Bill Heidbreder"
"5262","Julia Dearden"
"5263","Paolo Bonacelli"
"5264","William Mapother"
"5265","U Aung Ko"
"5266","Jim Kelly"
"5267","Richard Bull"
"5268","Sullivan Stapleton"
"5269","Charlie Rowe"
"5270","Rupert Friend"
"5271","Elizabeth Shepherd"
"5272","Link Wray"
"5273","Colleen Haskell"
"5274","Gerrard McArthur"
"5275","Celeste Holm"
"5276","Lennart Jähkel"
"5277","Esther Minciotti"
"5278","Melinda Kinnaman"
"5279","Andre Gower"
"5280","Wayne Newton"
"5281","Isabelle Carré"
"5282","Matthew Modine"
"5283","KaDee Strickland"
"5284","Michael Kitchen"
"5285","Max Records"
"5286","Daniel Duval"
"5287","Mary Healy"
"5288","Marian Saastad Ottesen"
"5289","Don McManus"
"5290","Romain Duris"
"5291","Aynsley Dunbar"
"5292","Azucena Medina"
"5293","Mary Astor"
"5294","Michael Callan"
"5295","Sherry Miller"
"5296","Vincent Perez"
"5297","Shelton Shakespear Alexander"
"5298","Julius Nitschkoff"
"5299","Carlos Padilla"
"5300","Lake Bell"
"5301","Michele Valley"
"5302","Guylaine Schlumberger"
"5303","Richard Marcus"
"5304","Eduardo Blanco"
"5305","Bernard Blier"
"5306","Aoi Tada"
"5307","Theresa Randle"
"5308","Eugeniusz Haczkiewicz"
"5309","Betty Lynn"
"5310","Schuyler Fisk"
"5311","Edda Köchl"
"5312","Ning Liang"
"5313","Maria Dizzia"
"5314","Vincent Spano"
"5315","Toni Kalem"
"5316","Sean Patrick Thomas"
"5317","Ulla Jacobsson"
"5318","Ralph Ineson"
"5319","Martita Hunt"
"5320","Justin Chatwin"
"5321","Dave Donaldson"
"5322","Tessa Mitchell"
"5323","Jhil McEntyre"
"5324","Gregory Sporleder"
"5325","Christian Bale"
"5326","Buck Taylor"
"5327","Aleksander Bardini"
"5328","Carly Pope"
"5329","Beulah Bondi"
"5330","Colloseo Schulzendorf"
"5331","Lea Coco"
"5332","Alan King"
"5333","Jsu Garcia"
"5334","Robert Culp"
